,datadate,datatime,ticker,exchangecd,lastprice,volume,side
4280,20161121,14:37:18,300559,XSHE,90.88,700,S
4281,20161121,14:37:21,300559,XSHE,90.85,1600,S
4282,20161121,14:37:24,300559,XSHE,90.86,300,B
4283,20161121,14:37:27,300559,XSHE,90.83,1400,S
4284,20161121,14:37:30,300559,XSHE,90.81,900,S
4285,20161121,14:37:33,300559,XSHE,90.8,1000,S
4286,20161121,14:37:36,300559,XSHE,90.8,1500,S
4287,20161121,14:37:39,300559,XSHE,90.8,1900,S
4288,20161121,14:37:42,300559,XSHE,90.8,2800,S
4289,20161121,14:37:45,300559,XSHE,90.8,3600,S
4290,20161121,14:37:48,300559,XSHE,90.82,6000,B
4291,20161121,14:37:51,300559,XSHE,90.8,4300,S
4292,20161121,14:37:54,300559,XSHE,90.78,1600,S
4293,20161121,14:37:57,300559,XSHE,90.78,1600,S
4294,20161121,14:38:00,300559,XSHE,90.8,1300,B
4295,20161121,14:38:03,300559,XSHE,90.75,700,S
4297,20161121,14:38:09,300559,XSHE,90.76,700,B
4298,20161121,14:38:12,300559,XSHE,90.75,3500,S
4299,20161121,14:38:15,300559,XSHE,90.78,4400,B
4300,20161121,14:38:18,300559,XSHE,90.74,3900,S
4301,20161121,14:38:21,300559,XSHE,90.71,400,S
4302,20161121,14:38:24,300559,XSHE,90.71,500,S
4303,20161121,14:38:27,300559,XSHE,90.74,5900,B
4304,20161121,14:38:30,300559,XSHE,90.7,1200,S
4305,20161121,14:38:33,300559,XSHE,90.71,300,B
4306,20161121,14:38:36,300559,XSHE,90.72,2800,B
4307,20161121,14:38:39,300559,XSHE,90.72,2000,S
4308,20161121,14:38:42,300559,XSHE,90.7,5400,S
4309,20161121,14:38:45,300559,XSHE,90.7,2100,S
4310,20161121,14:38:48,300559,XSHE,90.72,1200,B
4311,20161121,14:38:51,300559,XSHE,90.71,2500,S
4312,20161121,14:38:54,300559,XSHE,90.71,1600,S
4313,20161121,14:38:57,300559,XSHE,90.71,800,S
4314,20161121,14:39:00,300559,XSHE,90.72,1497,B
4315,20161121,14:39:03,300559,XSHE,90.71,3300,S
4316,20161121,14:39:06,300559,XSHE,90.71,1903,B
4317,20161121,14:39:09,300559,XSHE,90.7,2500,S
4318,20161121,14:39:12,300559,XSHE,90.72,4497,B
4319,20161121,14:39:15,300559,XSHE,90.72,3600,S
4320,20161121,14:39:18,300559,XSHE,90.71,2800,S
4321,20161121,14:39:21,300559,XSHE,90.71,1700,S
4322,20161121,14:39:24,300559,XSHE,90.72,3300,B
4323,20161121,14:39:27,300559,XSHE,90.71,1500,S
4324,20161121,14:39:30,300559,XSHE,90.71,2200,S
4325,20161121,14:39:33,300559,XSHE,90.72,1900,B
4326,20161121,14:39:36,300559,XSHE,90.72,3765,S
4327,20161121,14:39:39,300559,XSHE,90.71,3500,S
4328,20161121,14:39:42,300559,XSHE,90.71,3100,S
4329,20161121,14:39:45,300559,XSHE,90.71,1538,B
4330,20161121,14:39:48,300559,XSHE,90.71,800,S
4331,20161121,14:39:51,300559,XSHE,90.71,900,B
4332,20161121,14:39:54,300559,XSHE,90.71,1000,B
4333,20161121,14:39:57,300559,XSHE,90.72,2400,B
4334,20161121,14:40:00,300559,XSHE,90.7,2100,S
4335,20161121,14:40:03,300559,XSHE,90.71,2100,B
4336,20161121,14:40:06,300559,XSHE,90.71,2200,S
4337,20161121,14:40:09,300559,XSHE,90.71,600,S
4338,20161121,14:40:12,300559,XSHE,90.7,2700,S
4339,20161121,14:40:15,300559,XSHE,90.71,2900,B
4340,20161121,14:40:18,300559,XSHE,90.72,4862,B
4341,20161121,14:40:21,300559,XSHE,90.71,2500,S
4342,20161121,14:40:24,300559,XSHE,90.75,9100,B
4343,20161121,14:40:27,300559,XSHE,90.71,1800,S
4344,20161121,14:40:30,300559,XSHE,90.73,2000,B
4345,20161121,14:40:33,300559,XSHE,90.72,400,S
4346,20161121,14:40:36,300559,XSHE,90.72,1600,S
4347,20161121,14:40:39,300559,XSHE,90.75,2000,B
